'annuary_id','module'
1923,'W|_|06|1|DF|06|_'
1923,'BK|09|3|FR|17|_'
1923,'BI|12|1|DF|25|3'
1923,'L|G|12|4|_|7081'
1923,'W|_|12|6|DF|07|4'
1923,'Z|_|12|8|G_|13|2'
1923,'N|C|13|_|__|__|_'
1923,'BR|13|2|DF|__|4'
1923,'BA|13|7|DF|__|A'
1923,'BE|13|8|FR|__|_'
1923,'BV|13|A|SO|11|0'
1923,'L|D|14|1|_|0059'
1923,'BV|14|3|CH|01|1'
1923,'L|M|14|3|_|1996'
1923,'BT|14|A|__|14|B'
1923,'X|_|14|A|_|0000'
1923,'BL|15|1|CO|00|B'
1923,'L|X|15|1|_|0000'
1923,'BP|15|1|CO|01|1'
1923,'K|_|15|1|NL|15|2'
1923,'BE|15|B|US|19|3'
1923,'BT|18|C|US|21|_'
1923,'L|M|19|2|_|1996'
1923,'BR|19|B|CH|37|4'
1923,'BM|19|B|CH|01|2'
2145,'BV|13|_|VE|56|1'
2145,'BQ|13|7|VE|46|C'
2145,'L|J|13|8|_|2078'
2145,'BD|13|B|VE|56|7'
2145,'L|X|14|A|_|0000'
2186,'D|P|16|A|JA|12|_'
2186,'D|P|17|3|JA|12|_'
2186,'D|P|18|7|JA|12|_'
2187,'=|L|__|_|__|__|_'
2187,'BN|87|1|CO|02|9'
2187,'L|B|04|_|_|7141'
2187,'L|G|04|_|_|2162'
2187,'BV|04|_|CO|01|2'
2187,'BI|05|_|CO|03|_'
2187,'BC|05|3|CO|01|4'
2187,'L|C|08|_|_|0059'
2187,'BV|10|_|SL|01|9'
2187,'L|K|10|_|_|1489'
2187,'BW|10|_|SL|29|1'
2187,'BI|10|_|SL|04|_'
2187,'BC|10|5|SL|01|5'
2187,'BV|11|8|CO|01|3'
2187,'L|C|11|8|_|0559'
2187,'Q|M|11|C|CO|05|2'
2187,'L|A|13|7|_|0059'
2187,'L|M|14|_|_|2061'
2187,'L|S|14|7|_|1958'
2187,'I|_|14|9|JA|14|B'
2187,'BK|14|B|JA|14|8'
2187,'I|_|15|4|JA|15|4'
2187,'BT|15|4|__|__|_'
2187,'N|_|16|4|GO|16|C'
2187,'D|P|16|A|CO|01|_'
2187,'M|_|16|C|GO|17|5'
2187,'M|_|17|5|GO|20|5'
2187,'L|A|20|5|_|0059'
2200,'BN|90|8|GT|26|_'
2200,'BV|96|_|MI|01|_'
2200,'BC|02|1|MI|01|5'
2200,'BC|07|3|MI|01|_'
2200,'BV|08|_|MI|01|2'
2200,'L|G|08|_|2|765'
2200,'BW|09|_|MI|94|1'
2200,'BW|10|_|MI|29|1'
2200,'BV|10|A|MI|01|B'
2200,'BR|10|B|MI|29|6'
2200,'L|P|12|_|_|0540'
2200,'=|D|14|_|MI|01|_'
2200,'BC|14|6|MI|01|5'
2200,'BK|15|1|MI|11|8'
2200,'BW|15|6|MI|28|1'
2200,'D|P|16|A|MI|18|_'
2200,'D|P|17|3|MI|16|_'
2200,'BW|18|_|DF|21|1'
2200,'D|P|24|7|GT|12|_'
2200,'S|S|30|7|GT|__|_'
2204,'BN|86|_|ZA|08|_'
2204,'BC|98|1|ZA|08|5'
2204,'BC|01|4|ZA|01|5'
2204,'BW|05|_|ZA|23|_'
2204,'BV|05|_|ZA|09|_'
2204,'D|S|16|A|ZA|08|0'
2550,'D|S|17|3|DF|07|_'
2554,'BN|89|B|TB|09|_'
2554,'L|O|__|_|_|6144'
2554,'BC|01|1|TB|09|_'
2554,'BC|05|2|TB|09|5'
2554,'BC|07|3|DF|01|5'
2554,'BV|09|6|TB|09|9'
2554,'BT|09|7|TB|04|4'
2554,'BT|10|4|DF|38|4'
2554,'BR|10|6|DF|29|4'
2554,'L|M|11|4|_|8087'
2554,'W|_|13|4|TB|03|C'
2554,'BV|13|4|TB|13|1'
2554,'BR|13|5|TB|03|4'
2554,'BA|13|6|TB|03|6'
2554,'BQ|13|A|TB|15|C'
2554,'W|P|13|A|TB|04|C'
2554,'W|P|14|9|TB|06|C'
2554,'L|M|15|3|_|0000'
2554,'BQ|15|3|YU|20|8'
2554,'D|P|17|3|DF|05|_'
2554,'Q|C|20|_|JA|05|F'
2554,'D|P|20|8|DF|13|_'
2554,'W|_|24|6|__|08|F'
2554,'Z|_|30|4|EM|__|_'
2557,'L|T|00|_|_|8112'
2557,'I|H|13|C|AG|14|1'
2557,'D|P|17|3|ZA|05|_'
2557,'G|_|20|C|AG|24|B'
2566,'BN|92|_|CP|02|1'
2566,'=|L|17|_|__|__|_'
2566,'D|P|17|3|CP|02|0'
2566,'Q|C|18|_|CP|02|2'
2566,'D|P|18|7|CP|02|_'
2566,'L|A|20|5|_|0059'
2571,'D|P|17|3|DU|03|0'
2904,'D|S|18|7|CH|01|_'
2916,'BN|80|_|JA|40|_'
2916,'BW|15|_|JA|38|_'
2916,'D|P|18|7|JA|22|_'
2916,'D|S|24|7|JA|06|_'
2916,'D|P|26|7|JA|07|_'
2916,'D|P|28|7|JA|22|_'
2916,'S|S|28|7|JA|__|_'
2916,'D|P|29|3|JA|22|_'
2917,'D|S|18|7|HI|04|_'
2918,'D|S|18|7|VE|08|_'
2919,'D|P|18|7|CP|12|_'
2919,'D|S|24|7|CP|02|_'
2920,'BN|90|_|MI|15|4'
2920,'BI|06|_|MI|01|_'
2920,'BC|06|_|MI|01|_'
2920,'BW|10|9|MI|29|1'
2920,'BV|10|A|MI|01|B'
2920,'BR|10|B|MI|29|6'
2920,'L|U|12|_|_|0548'
2920,'BW|13|_|DF|29|1'
2920,'L|M|14|_|_|2151'
2920,'BL|14|_|MI|__|_'
2920,'D|P|18|7|MI|09|_'
2920,'BM|21|_|MI|01|A'
2922,'D|S|18|7|JA|08|_'
3234,'BN|5_|_|__|__|_'
3234,'BW|09|_|TB|34|_'
3234,'=|L|12|_|TB|01|_'
3234,'BW|13|_|TB|81|8'
3234,'L|S|15|2|_|1412'
3234,'BW|17|_|DF|34|1'
3234,'D|P|18|7|TB|01|_'
3242,'D|S|18|_|BC|01|_'
3260,'D|S|20|8|ME|01|_'
3268,'L|P|__|_|_|2554'
3268,'L|P|__|_|_|8109'
3268,'BT|02|7|TB|05|_'
3268,'BV|02|7|TB|09|9'
3268,'BT|09|7|TB|04|4'
3268,'=|I|10|_|__|__|_'
3268,'BT|10|A|TB|04|4'
3268,'BV|10|C|TB|09|7'
3268,'BV|11|4|TB|16|0'
3268,'Q|M|11|8|TB|__|6'
3268,'BR|13|4|TB|16|4'
3268,'BA|13|8|TB|__|6'
3268,'BB|19|_|TB|08|_'
3268,'Q|C|19|2|TB|09|6'
3268,'D|P|20|8|TB|03|_'
3284,'D|S|20|8|TA|03|_'
3285,'BN|94|_|TL|20|_'
3285,'BI|10|_|PU|05|_'
3285,'BC|10|7|PU|01|5'
3285,'BV|10|7|PU|01|6'
3285,'=|L|15|_|PU|__|_'
3285,'BK|20|_|TL|11|F'
3285,'D|P|20|8|TL|01|_'
3285,'D|P|28|7|TL|03|_'
3285,'D|P|29|3|TL|03|_'
3286,'D|S|20|8|BC|02|_'
3288,'=|L|__|_|YU|__|_'
3288,'BN|80|_|YU|01|1'
3288,'D|S|20|8|YU|01|_'
3288,'D|P|22|7|DF|16|_'
3288,'BT|23|_|__|__|D'
3289,'D|S|20|8|ME|17|_'
3292,'D|P|20|8|GT|07|_'
3292,'D|P|22|7|GT|10|_'
3292,'D|P|24|7|GT|11|_'
3292,'G|_|27|9|GT|31|9'
3620,'D|S|22|7|GT|06|_'
3620,'D|P|24|7|GT|06|_'
3620,'S|P|28|7|GT|__|_'
3632,'D|S|22|7|GR|05|_'
3633,'D|S|22|7|DU|09|_'
3633,'D|S|24|7|VE|07|_'
3633,'D|P|26|7|DU|09|_'
3634,'S|P|18|7|MO|__|_'
3634,'D|P|22|7|MO|03|_'
3635,'D|P|22|7|HI|07|_'
3636,'BN|97|_|HI|08|_'
3636,'BC|20|_|HI|07|5'
3636,'=|L|22|_|__|__|_'
3636,'=|L|22|_|DF|__|_'
3637,'D|S|22|7|HI|12|_'
3980,'D|S|24|7|JA|24|_'
4001,'D|S|24|6|VE|08|_'
4002,'BN|90|_|HI|__|_'
4002,'L|T|91|_|_|1923'
4002,'BC|00|1|HI|17|_'
4002,'BK|15|6|CP|19|B'
4002,'D|S|24|7|HI|07|_'
4003,'D|S|24|7|HI|12|_'
4004,'D|S|24|7|CA|04|_'
4005,'D|P|24|7|DU|01|_'
4006,'BW|14|6|CH|22|_'
4006,'BK|14|C|CH|11|8'
4006,'D|P|27|6|GT|10|_'
4007,'D|P|24|7|HI|11|_'
4008,'D|P|24|7|TL|02|_'
4011,'D|P|24|7|TE|01|_'
4360,'BN|94|6|MI|40|_'
4360,'BI|04|1|MI|01|_'
4360,'BC|04|1|MI|01|_'
4360,'BW|10|_|MI|28|_'
4360,'W|P|15|_|__|05|_'
4360,'BT|15|8|__|__|8'
