'place_id','city_id','city'
'HI','20','Huehuetla'
'HI','21','Huazalingo'
'HI','22','Yahualica'
'HI','23','Atlapexco'
'HI','24','San Andrés (Nic. Flores)'
'HI','25','Moltotepec'
'HI','26','Huíchapan'
'HI','27','Calnali'
'HI','28','Hacienda del Palmar'
'HI','29','San Felipe Orizatlán'
'JA','01','Guadalajara, distrito 1'
'JA','02','Guadalajara, distrito 2'
'JA','03','Zapopan'
'JA','04','Tonalá'
'JA','05','Lagos de Moreno'
'JA','06','La Barca'
'JA','07','Tepatitlán'
'JA','08','Arandas'
'JA','09','Sayula'
'JA','10','Ameca'
'JA','11','Autlán'
'JA','12','Chapala'
'JA','13','Colotlán'
'JA','14','San Gabriel'
'JA','15','Ciudad Guzmán'
'JA','16',' Mascota'
'JA','17','Teocaltiche'
'JA','18','Ahualulco'
'JA','19','Jocotepec'
'JA','20','Jalostotitlán'
'JA','21','San Pedro Tlaquepaque'
'JA','22','Encarnación'
'JA','23','Mazamitla'
'JA','24','Guadalajara (3)'
'JA','25','Cuquío'
'JA','26','Tizapán el Alto'
'JA','27','Tlajomulco'
'JA','28','Tuxpan'
'JA','29','Cocula'
'JA','30','Tequila'
'JA','31','Teocuitatlán de Corona'
'JA','32','Ocotlán'
'JA','33','Mexicaltzingo'
'JA','35','Inxtlahuacán'
'JA','36','Yahualica'
'JA','37',',Hostotipaquillo'
'JA','38','Min. S. Sebastián (Mascota)'
'JA','39','Etzatlán'
'JA','40','San Juan de los Lagos'
'JA','41','Yahualica'
'JA','42','Ahualulco'
'JA','43','San Juan Evangelista'
'JA','44','Zacoalco'
'JA','45','Hostotipaquillo'
'JA','46','Amparo Mining Co.'
'JA','47','Bolaños'
'JA','48','San Martín de Bolaños'
'JA','49','Sierra de Ameca'
'JA','50','Paso de Sotos (Villa)'
'JA','52','Tecolotlán'
'JA','53','San Miguel el Alto'
'JA','54','Tecolotlán'
'ME','01','Toluca'
'ME','02','Zinacantepec'
'ME','03','Lerma'
'ME','04','Tenango'
'ME','05','Tenancingo'
'ME','06','Sultepec'
'ME','07','Tepascaltepec'
'ME','08','Valle del Bravo'
'ME','09','Ixtlahuaca'
'ME','10','Jilotepec'
'ME','11','Tlanepantla'
'ME','12','Cuautitlán'
'ME','13','Zumpango'
'ME','14','Otumba'
'ME','15','Texcoco'
'ME','16','Chalco'
'ME','17','El Oro'
'ME','18','Tejupilco'
'ME','19','Coatepec Harinas'
'ME','20','San Felipe'
'ME','21','Villa del Carbón'
'ME','22','Villa Victoria'
'ME','23','Almoloya de Alquisiras'
'ME','24','Ozumba de Alzate'
'ME','25','Malinalco'
'ME','26','Tepalcatepec'
'ME','27','El Platanar'
'ME','28','Tonatico'
'ME','29','El Desierto'
'ME','30','San Sebastián'
'ME','31','Jalmolonga'
'ME','32','Ixtapan de la Sal'
'ME','33','Santo Tomás de los Plátanos'
'ME','35','Atlacomulco'
'MI','01','Morelia'
'MI','02','Zinapécuaro'
'MI','03','Maravatío'
'MI','04','Zitácuaro'
'MI','05','Huetamo'
'MI','06','Tacámbaro'
'MI','07','Ario de Rosales'
'MI','08','Pátzcuaro'
'MI','09','Uruapan'
'MI','10','Apatzingán'
'MI','11','Coalcomán'
'MI','12','Jiquilpan'
'MI','13','Zamora'
'MI','14','La Piedad'
'MI','15','Puruándiro'
'MI','16','Morelia (2)'
'MI','17','Zamora (2)'
'MI','18','Morelia (3)'
'MI','19','Purépero'
'MI','20','Aguililla'
'MI','21','Villa Hidalgo'
'MI','22','Santa Clara = Villa Escalante'
'MI','23','Acuitzio'
'MI','24','Coeneo'
'MI','25','Tlalpujahua'
'MI','26','Zacapu'
'MI','27','Paracho'
'MI','28','Guarachita'
'MI','29','Tanhuato'
'MI','30','Los Reyes'
'MI','31','Panindícuaro'
'MI','32','Chucándiro'
'MI','33','Cuitzeo'
'MI','34','Parácuaro'
'MI','35','Sanhuayo'
'MI','36','Tingiíindín'
'MI','37','Arteaga'
'MI','39','Cotija de la Paz'
'MI','40','Penjamillo'
'MI','41','Mazamitla, sierra Tarasca'
'MI','42','Jamiltepec'
'MI','43','Tuzantla'
'MI','44','Salazar, distrito'
'MI','45','Santa Clara, m. Tocumbo'
'MI','46','Peribán de Ramos'
'MI','47','San Juan P.'
'MI','48','Sierra de Uruapan'
'MI','49','Hao. de Chaparro, m. Zitácuaro'
'MI','50','Taretán'
'MI','51','Jerécuaro'
'MI','52','Tres Mezquites, m. Puruándiro'
'MI','53','Tanhuato'
'MI','54','San Pedro Jorullo, hacienda'
'MI','55','La Huacana'
'MI','56','Chavinda'
'MI','57','Jungapeo'
'MO','01','Cuernavaca'
'MO','02','Morelos = Cuautla'
'MO','03','Jojutla'
'MO','04','Yautepec'
'MO','05','Tetecala'
'MO','06','Jonacatepec'
'MO','07','Aguegepán'
'MO','08','Anenecuilco'
'MO','09','Santa María Ahuacatitlán'
'MO','10','Ahuatepec'
'MO','11','Villa de Ayala'
'MO','12','Tetelpa'
'MO','13','San Pablo Hidalgo'
'MO','14','Tlalquiltenango'
'MO','15','Hacienda Chinameca'
'MO','16','Tlaltizapan'
'MO','17','Huitzilac'
'MO','18','Tepoztlán'
'NL','01','Monterrey'
'NL','02','Cadareyta Jiménez'
'NL','03','Linares'
'NL','04','Villa Aldama'
'NL','05','Salinas Victoria'
'NL','06','Galeana'
'NL','07','Monterrey (2)'
'NL','08','Montemorelos'
'NL','09','Doctor Arroyo'
'NL','10','Cerralvo'
'NL','11','Sabinas Hidalgo'
'NL','12','Lampazos'
'NL','13','China'
'NL','14','Río Blanco'
'NL','15','Vallecillo'
'NL','17','San Isidro, m. Villa Pesqueira Chica'
'NL','18','General Bravo'
'NL','19','Galeana'
'NL','21','Terán'
'NL','22','Marín'
'NL','23','Cerralvo'
'NL','24','Mina'
'OA','01','Oaxaca'
'OA','02','Zimatlán'
'OA','03','Ocotlán'
'OA','04','Miahuatlán'
'OA','05','Jamiltepec'
'OA','06','Tuxtlahuaca'
'OA','07','Huajuapan'
'OA','08','Teposcolula'
