'city_id','place_id','city'
'28','PU','Coayuca, dto. Tepexí'
'29','PU','Fábrica de los Molinos, m. Atlixco'
'30','PU','Tehuitzingo'
'31','PU','Tlachíchuca'
'32','PU','Ometepec, m. Tetela de Ocampo'
'33','PU','San José de Ixtapan'
'34','PU','Tochimilco'
'35','PU','Aquixtla'
'36','PU','Huachinantla, m. Jalapán'
'37','PU','Huaquechula'
'38','PU','Chígnahuapan'
'39','PU','Sierra de Puebla'
'40','PU','Chietla'
'41','PU','Ayutla'
'42','PU','San Andrés Contla'
'43,''PU',San Juan de los Llanos'
'44','PU','Cuautlalcingo'
'45','PU','Pahuatlán'
'46','PU','Chilchotla'
'47','PU','San Andrés Chalchicmula'
'49','PU','Teziutlán'
'50','PU','Zacatlán'
'51','PU','Acatzingo'
'53','PU','Tlapotepec'
'01','QU','Querétaro'
'02','QU','La Cañada'
'03','QU','San Juan del Rio'
'04','QU','Cadereyta Méndez'
'05','QU','Jalpan'
'06','QU','Tolimán'
'01','SI','Culiacán'
'02','SI','Mazatlán'
'03','SI','Cosalá'
'04','SI','Sinaloa'
'05','SI','Villa San Ignacio'
'06','SI','Villa Fuerte'
'07','SI','Concordia'
'08','SI','Elota'
'09','SI','Rosario'
'10','SI','Mocorito'
'11','SI','La Cruz'
'12','SI','Ahome'
'13','SI','San Javier'
'14','SI','Copala'
'15','SI','Angostura'
'16','SI','Sataya'
'17','SI','Tepuche'
'18','SI','Siqueiros'
'19','SI','Los lXíochis'
'20','SI','Bequillosj m. Mocorito'
'21','SI','Pánuco, m. Concordia'
'22','SI','Estación Guamuchil'
'23','SI','Badiguarato'
'24','SI','Guadalupe de los Reyes'
'25','SI','Casa Blanca'
'26','SI','Palmillas'
'27','SI','Palma Sola'
'28','SI','San Pedro'
'29','SI','San Blas'
'30','SI','El Potrero'
'31','SI','Imola'
'32','SI','Tominíl'
'33','SI','Santa Lucía'
'34','SI','El Verde'
'35','SI','Guasave'
'36','SI','Comedero'
'37','SI','San Antonio, m. Choix'
'38','SI','La Noria'
'39','SI','Toro'
'40','SI','Las Cabras'
'41','SI','San Lorenzo'
'42','SI','Tetaroba, m. El Fuerte'
'43','SI','Choix'
'44','SI','Bacamarí'
'45','SI','Jahuara'
'46','SI','Ocoroní'
'48','SI','Yecorato, dto. El Fuerte'
'49','SI','San José de Gracia'
'50','SI','Topolobampo'
'51','SI','Escuinapa'
'55','SI','Potreros'
'57','SI','El Charay'
'01','SL','San Luis Potosí'
'02','SL','Tequisquiapan'
'03','SL','Tlaxcala'
'04','SL','Santa María del Río'
'05','SL','Iturbide'
'06','SL','Río Verde'
'07','SL','Ciudad del Maíz'
'08','SL','Venado'
'09','SL','Matehuala'
'10','SL','Cerritos'
'11','SL','Salinas'
'12','SL','Tancanhuitz'
'13','SL','Guadalcázar'
'14','SL','Alaquines'
'15','SL','Ciudad de Valles'
'16','SL','San Luis Potosí'
'17','SL','Cárdenas'
'18','SL','Tamazunchale'
'19','SL','El Ebano'
'20' 'SL',San Nicolás Tolentino'
'21','SL','San Dieguito'
'22','SL','Tampalomón'
'23','SL','Charcas'
'24','SL','Catorce'
'25','SL','Potreritos, m. Guadalcázar'
'26','SL','Villa de Arriaga'
'27','SL','Soledad de los Ríos, Díez—Gutiérrez'
'28','SL','Municipio de Rayón'
'29','SL','Villa Xilita'
'30','SL','Hac. de Santiago, m,SLP'
'31','SL','Ahualulco'
'32','SL','Tampacan'
'33','SL','San Martín'
'34','SL','Minas Viejas'
'35','SL','Axtla'
'36','SL','Tanlajas'
'37','SL','Vanegas'
'38','SL','Cedral'
'39','SL','Ramos'
'40','SL','Villa de los Pozos'
'01','SO','Ures'
'02','SO','Hermosillo'
'03','SO','Alamos'
'04','SO','Magdalena'
'05','SO','Arizpe'
'06','SO','Guaymas'
'07','SO','Villa de Altar'
'08','SO','Navojoa'
'09','SO','Bavispe'
'10','SO','Cananea'
'11','SO','Nogales'
'12','SO','Fronteras, m. Arizpe'
'13','SO','Potarm'
'14','SO','Estación Ortiz'
'15','SO','Quiriego, m. Navojoa'
'16','SO','La Colorada'
'17','SO','Minas Prietas'
'18,''SO',Moctezuma'
'19','SO','Huépac'
'20','SO','San Marcial'
'21','SO','Promontorios'
'22','SO','Sahuaripa'
'23','SO','Cerro Prieto, d. Moctezuma'
'24','SO','Min. El Barrigón, d. Moctez.'
'25','SO','Nuri'
'26','SO','Sierra de Ajos'
'27','SO','Pilares de Teras'
'28','SO','Colonia Morelos'
'29','SO','Min. El Tigre, Moctezuma'
'30','SO','Cumpas'
'31','SO','Soyapa'
'32','SO','La Dura'
'33','SO','Agua Prieta'
'34','SO','Caborca, dto. Altar'
'35','SO','Cruz de Piedra'
'36','SO','Nacozari'
'37','SO','Valle del Yaqui'
'38','SO','Santa Ana'
'40','SO','Min. Las Chispas'
'41','SO','Huatabampo'
'42','SO','La Junta'
'43','SO','Torín'
'44','SO','Siquinava, m. Navojoa'
'45','SO','San Miguel de Horcasitas'
'46','SO','Naco'
'48','SO','Aldama, m. Alamos'
'50','SO','Tecoripa'
'01','TA','Ciudad Victoria'
'02','TA','Matamoros'
'03','TA','Tampico'
'04','TA','Tula'
'05','TA','Jaumave'
'06','TA','Altamira'
'08','TA','San Nicolás'
'09','TA','Antiguo Morelos'
'10','TA','Camargo'
'12','TA','Villa Escandón (Ciu. Xicoténcatl)'
'13','TA','Ciudad Guerrero'
'14','TA','Ciudad Reinosa'
'15','TA','Jiménez'
'16','TA','Míiquihuana'
'17','TA','San Fernando'
'18','TA','Padilla'
'19','TA','Villagrán'
'01','TB','San Juan Bautista =Villahermosa'
'02','TB','Pueblo Nuevo'
'03,''TB',Cunduacán'
'04'''TB',,'Ciudad Álvaro Obregón'
'05','TB','Villa de Jonuta'
'06','TB','Jalapa'
'07','TB','Frontera'
'10','TB','Balancón'
'11','TB','Ceutla'
'12','TB','Teapa'
'13','TB','Cárdenas'
'15','TB','Ocuapán'
'01','TE','Tepic'
'02','TE','Ahuacatlán'
'03','TE','Izcuintla'
'04','TE','Ixtlán = Santiago'
'05','TE','Acaponeta'
'06','TE','Santa María del Oro'
'07','TE','Tuxpan'
'08','TE','Acaponeta'
'09','TE','Compostela'
'10','TE','Pinabete de Montoya, m. La Yesca'
'01','TL','Tlaxcala'
'02','TL','Huamantla'
'03','TL','Calpulalpan'
'04','TL','Apizaco'
'05','TL','S. Bernardino Contla (J. Cuamatzi)'
'06','TL','Panzacola'
'07','TL','Montage de Malintzí'
'08','TL','Zacatelco'
'09','TL','Papalotla'
'10','TL','Tenancingo'
'11','TL','Terrenate'
'12','TL','Atoyac, cuenca del'
'13','TL','Tlaxcala, región central'
'14','TL','Tlaxco'
'15','TL','Ixtenco'
'16','TL','Xicotzingo'
'17','TL','San Marcos Contla'
'18','TL','Axocomanitla, m. Zacatelco'
'20','TL','Sta. Ana Chiautempan'
'21','TL','Sta. María Ixtulco'
'01','QR','Santa Cruz = Felipe Carrillo Puerto'
'02','QR','Payo Obispo = Chetumal'
'01','US','Arizona'
'02','US','Boston'
'03','US','Santa Clara, California'
'04','US','Douglas, Arizona'
'05','US','El Paso, Texas'
'06','US','Mowry, Arizona'
'07','US','Patagonia'
'08','US','San Antonio, Texas'
'09','US','Tucson, Arizona'
'10','US','Del Río, Texas'
'11','US','Austin, Texas'
'12','US','Los Angeles'
'13','US','Min. del Rey, Arizona'
'14','US','Nogales'
'15','US','Indiana'
'16','US','Filadelfia'
'17','US','Washington'
'18','US','Yuma, Arizona'
'19','US','Nueva York'
'01','VE','Tantoyuca'
'02','VE','Chicontepec'
'03','VE','Tuxpan'
'04','VE','Jalacingo'
'05','VE','Jalapa'
'06','VE','Coatepec'
